Place,Age,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Region of Bratislava (NUTS2),68 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5292,5603,5406,6095,6758,7116,7142,7754
Region of Bratislava (NUTS2),69 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4948,5190,5493,5299,5970,6602,6979,6990
Region of Bratislava (NUTS2),70 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4815,4821,5068,5365,5202,5831,6448,6808
Region of Bratislava (NUTS2),71 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4508,4692,4688,4954,5251,5080,5662,6301
Region of Bratislava (NUTS2),72 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3927,4389,4579,4576,4855,5122,4953,5520
Region of Bratislava (NUTS2),73 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3648,3826,4255,4459,4454,4705,4994,4821
Region of Bratislava (NUTS2),74 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3373,3548,3712,4129,4316,4312,4568,4849
Region of Bratislava (NUTS2),75 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3261,3258,3431,3583,4009,4170,4178,4426
Region of Bratislava (NUTS2),76 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3180,3158,3138,3306,3459,3888,4026,4042
Region of Bratislava (NUTS2),77 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3027,3059,3025,3002,3173,3331,3729,3885
Region of Bratislava (NUTS2),78 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2866,2858,2898,2903,2895,3044,3214,3567
Region of Bratislava (NUTS2),79 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3059,2735,2706,2753,2741,2765,2902,3037
Region of Bratislava (NUTS2),80 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2874,2880,2582,2540,2602,2617,2631,2766
Region of Bratislava (NUTS2),81 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2644,2719,2692,2402,2393,2450,2448,2474
Region of Bratislava (NUTS2),82 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2404,2447,2519,2502,2220,2231,2275,2305
Region of Bratislava (NUTS2),83 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2202,2177,2262,2330,2299,2075,2057,2099
Region of Bratislava (NUTS2),84 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,1991,1974,2057,2146,2137,1921,1864
Region of Bratislava (NUTS2),85 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773,1781,1768,1813,1855,1957,1963,1716
Region of Bratislava (NUTS2),86 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,1573,1583,1562,1610,1635,1746,1736
Region of Bratislava (NUTS2),87 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,1208,1357,1378,1375,1408,1432,1543
Region of Bratislava (NUTS2),88 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,1104,1073,1183,1208,1176,1243,1236
Region of Bratislava (NUTS2),89 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,998,945,938,993,1039,969,1087
Region of Bratislava (NUTS2),90 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,787,826,778,804,840,852,800
Region of Bratislava (NUTS2),91 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,577,648,690,633,685,698,696
Region of Bratislava (NUTS2),92 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,388,484,519,559,513,565,568
Region of Bratislava (NUTS2),93 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,272,301,400,408,430,404,467
Region of Bratislava (NUTS2),94 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,103,219,234,319,302,307,322
Region of Bratislava (NUTS2),95 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,70,86,171,179,250,219,226
Region of Bratislava (NUTS2),96 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,60,57,67,117,134,190,174
Region of Bratislava (NUTS2),97 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,55,40,41,51,93,109,163
Region of Bratislava (NUTS2),98 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,60,37,33,32,42,70,90
Region of Bratislava (NUTS2),99 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,39,38,31,27,28,34,55
Region of Bratislava (NUTS2),100 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,30,33,25,25,25,30
Region of Bratislava (NUTS2),101 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,16,27,30,19,22,20
Region of Bratislava (NUTS2),102 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,13,24,28,16,21
Region of Bratislava (NUTS2),103 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,12,12,23,28,14
Region of Bratislava (NUTS2),104 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,12,19,26
Region of Bratislava (NUTS2),105 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13,12,19
Region of Bratislava (NUTS2),106 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13,12
Region of Bratislava (NUTS2),107 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,13
Region of Bratislava (NUTS2),108 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Region of Bratislava,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,606537,612682,618380,625167,633288,641892,650838,659598
Region of Bratislava,Zero years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7821,7639,7498,7962,8133,8573,8724,8903
Region of Bratislava,1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7425,7959,7773,7659,8100,8369,8784,8947
Region of Bratislava,2 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7167,7529,8032,7886,7707,8206,8484,8894
Region of Bratislava,3 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6768,7222,7599,8145,7941,7799,8290,8598
Region of Bratislava,4 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6223,6809,7264,7636,8176,7986,7858,8320
Region of Bratislava,5 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5883,6215,6798,7293,7674,8191,8013,7874
Region of Bratislava,6 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5684,5899,6254,6809,7306,7686,8193,8055
Region of Bratislava,7 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5429,5702,5904,6262,6799,7340,7704,8211
Region of Bratislava,8 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5056,5437,5715,5923,6272,6793,7346,7729
Region of Bratislava,9 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4537,5060,5437,5714,5935,6292,6798,7351
Region of Bratislava,10 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4544,4528,5083,5424,5729,5946,6304,6815
Region of Bratislava,11 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4629,4551,4541,5096,5435,5742,5940,6321
Region of Bratislava,12 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4360,4637,4555,4533,5108,5451,5745,5948
Region of Bratislava,13 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4477,4359,4637,4548,4526,5127,5460,5757
Region of Bratislava,14 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4608,4477,4382,4628,4548,4523,5126,5474
Region of Bratislava,15 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4661,4627,4516,4398,4654,4563,4524,5143
Region of Bratislava,16 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5081,4668,4632,4529,4403,4666,4568,4534
Region of Bratislava,17 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5420,5087,4686,4633,4552,4405,4672,4573
Region of Bratislava,18 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6143,5427,5081,4685,4637,4561,4425,4678
Region of Bratislava,19 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6298,6155,5438,5090,4699,4645,4572,4430
Region of Bratislava,20 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6831,6312,6186,5459,5105,4719,4676,4581
Region of Bratislava,21 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7133,6853,6347,6198,5494,5147,4749,4698
Region of Bratislava,22 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7225,7179,6871,6401,6263,5536,5187,4793
Region of Bratislava,23 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7589,7296,7228,6950,6479,6331,5619,5279
Region of Bratislava,24 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7940,7708,7395,7337,7095,6629,6494,5767
Region of Bratislava,25 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8694,8145,7880,7640,7632,7366,6860,6742
Region of Bratislava,26 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9255,8935,8355,8131,7959,7946,7663,7177
Region of Bratislava,27 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9726,9564,9242,8706,8559,8372,8380,8043
Region of Bratislava,28 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10277,10055,9897,9594,9176,9044,8852,8845
Region of Bratislava,29 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10709,10636,10439,10331,10037,9677,9563,9398
Region of Bratislava,30 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11333,11082,10967,10786,10831,10528,10195,10076
Region of Bratislava,31 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11508,11606,11392,11304,11205,11249,11008,10662
Region of Bratislava,32 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12551,11741,11834,11683,11649,11545,11661,11365
Region of Bratislava,33 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12351,12769,11919,12061,11968,11915,11918,12000
Region of Bratislava,34 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12337,12511,12908,12103,12309,12247,12193,12173
Region of Bratislava,35 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11838,12465,12657,13112,12321,12538,12504,12416
Region of Bratislava,36 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11565,11964,12578,12779,13276,12491,12681,12647
Region of Bratislava,37 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10964,11657,12006,12637,12920,13371,12612,12781
Region of Bratislava,38 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10055,11037,11717,12066,12741,13016,13456,12696
Region of Bratislava,39 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9263,10060,11090,11756,12151,12806,13083,13516
Region of Bratislava,40 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8785,9299,10136,11140,11805,12202,12882,13129
Region of Bratislava,41 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8313,8805,9308,10138,11179,11846,12237,12914
Region of Bratislava,42 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7827,8349,8812,9331,10180,11187,11886,12255
Region of Bratislava,43 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7449,7849,8358,8834,9374,10228,11212,11892
Region of Bratislava,44 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7254,7446,7849,8348,8845,9398,10240,11267
Region of Bratislava,45 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7496,7239,7440,7854,8368,8869,9435,10256
Region of Bratislava,46 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7915,7479,7220,7437,7849,8361,8855,9425
Region of Bratislava,47 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8180,7903,7461,7216,7441,7834,8364,8851
Region of Bratislava,48 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8074,8168,7873,7451,7207,7428,7823,8368
Region of Bratislava,49 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7824,8041,8135,7864,7442,7178,7436,7791
Region of Bratislava,50 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8136,7801,8021,8112,7860,7417,7181,7436
Region of Bratislava,51 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8167,8109,7751,7974,8092,7834,7401,7176
Region of Bratislava,52 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8221,8135,8072,7736,7965,8066,7825,7381
Region of Bratislava,53 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8717,8176,8087,8043,7704,7960,8037,7803
Region of Bratislava,54 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9186,8662,8120,8071,8021,7673,7922,7983
Region of Bratislava,55 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9610,9135,8581,8058,8027,7976,7646,7894
Region of Bratislava,56 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9843,9544,9071,8509,8001,7971,7940,7603
Region of Bratislava,57 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9556,9769,9465,8969,8434,7953,7931,7909
Region of Bratislava,58 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9623,9471,9693,9380,8884,8370,7896,7877
Region of Bratislava,59 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9610,9555,9393,9586,9310,8803,8286,7837
Region of Bratislava,60 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9452,9498,9444,9284,9473,9239,8735,8194
Region of Bratislava,61 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8630,9345,9367,9325,9182,9377,9135,8636
Region of Bratislava,62 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7875,8520,9222,9251,9194,9072,9266,9011
Region of Bratislava,63 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7765,7769,8407,9093,9113,9064,8965,9116
Region of Bratislava,64 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7255,7636,7657,8288,8966,8963,8946,8830
Region of Bratislava,65 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6425,7142,7496,7536,8172,8821,8822,8799
Region of Bratislava,66 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5572,6324,7049,7381,7417,8032,8687,8667
Region of Bratislava,67 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5690,5486,6208,6893,7262,7304,7898,8544
Region of Bratislava,68 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5292,5603,5406,6095,6758,7116,7142,7754
Region of Bratislava,69 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4948,5190,5493,5299,5970,6602,6979,6990
Region of Bratislava,70 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4815,4821,5068,5365,5202,5831,6448,6808
Region of Bratislava,71 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4508,4692,4688,4954,5251,5080,5662,6301
Region of Bratislava,72 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3927,4389,4579,4576,4855,5122,4953,5520
Region of Bratislava,73 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3648,3826,4255,4459,4454,4705,4994,4821
Region of Bratislava,74 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3373,3548,3712,4129,4316,4312,4568,4849
Region of Bratislava,75 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3261,3258,3431,3583,4009,4170,4178,4426
Region of Bratislava,76 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3180,3158,3138,3306,3459,3888,4026,4042
Region of Bratislava,77 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3027,3059,3025,3002,3173,3331,3729,3885
Region of Bratislava,78 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2866,2858,2898,2903,2895,3044,3214,3567
Region of Bratislava,79 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3059,2735,2706,2753,2741,2765,2902,3037
Region of Bratislava,80 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2874,2880,2582,2540,2602,2617,2631,2766
Region of Bratislava,81 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2644,2719,2692,2402,2393,2450,2448,2474
Region of Bratislava,82 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2404,2447,2519,2502,2220,2231,2275,2305
Region of Bratislava,83 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2202,2177,2262,2330,2299,2075,2057,2099
Region of Bratislava,84 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,1991,1974,2057,2146,2137,1921,1864
Region of Bratislava,85 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1773,1781,1768,1813,1855,1957,1963,1716
Region of Bratislava,86 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,1573,1583,1562,1610,1635,1746,1736
Region of Bratislava,87 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,1208,1357,1378,1375,1408,1432,1543
Region of Bratislava,88 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185,1104,1073,1183,1208,1176,1243,1236
Region of Bratislava,89 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,998,945,938,993,1039,969,1087
Region of Bratislava,90 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,787,826,778,804,840,852,800
Region of Bratislava,91 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,577,648,690,633,685,698,696
Region of Bratislava,92 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,388,484,519,559,513,565,568
Region of Bratislava,93 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,272,301,400,408,430,404,467
Region of Bratislava,94 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,103,219,234,319,302,307,322
Region of Bratislava,95 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,70,86,171,179,250,219,226
Region of Bratislava,96 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,60,57,67,117,134,190,174
Region of Bratislava,97 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,55,40,41,51,93,109,163
Region of Bratislava,98 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,60,37,33,32,42,70,90
Region of Bratislava,99 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,39,38,31,27,28,34,55
Region of Bratislava,100 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,30,33,25,25,25,30
Region of Bratislava,101 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,16,27,30,19,22,20
Region of Bratislava,102 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,13,24,28,16,21
Region of Bratislava,103 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,12,12,23,28,14
Region of Bratislava,104 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,12,19,26
Region of Bratislava,105 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13,12,19
Region of Bratislava,106 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13,12
Region of Bratislava,107 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,13
Region of Bratislava,108 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
West Slovakia,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1839259,1838136,1836664,1834832,1832159,1830751,1828428,1826145
West Slovakia,Zero years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18107,16529,16613,16687,16585,17251,17311,17041
West Slovakia,1 year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17210,18219,16692,16750,16858,16786,17455,17509
West Slovakia,2 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17527,17276,18252,16734,16828,16933,16841,17526
West Slovakia,3 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17124,17575,17329,18304,16756,16864,16995,16904
West Slovakia,4 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16206,17134,17570,17343,18325,16805,16898,17056
West Slovakia,5 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16057,16233,17168,17569,17351,18340,16833,16940
West Slovakia,6 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16155,16061,16230,17153,17580,17345,18356,16838
West Slovakia,7 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16045,16151,16076,16222,17154,17592,17373,18370
West Slovakia,8 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15200,16049,16169,16070,16220,17153,17584,17379
West Slovakia,9 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15170,15206,16076,16180,16061,16220,17161,17593
West Slovakia,10 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15397,15184,15216,16096,16160,16077,16233,17142
West Slovakia,11 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16832,15399,15191,15214,16074,16146,16097,16232
West Slovakia,12 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17418,16843,15425,15202,15225,16077,16165,16092
West Slovakia,13 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17470,17426,16855,15444,15194,15220,16093,16171
West Slovakia,14 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18249,17484,17460,16856,15446,15197,15234,16090
West Slovakia,15 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18959,18259,17526,17452,16836,15445,15192,15238
West Slovakia,16 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19457,18953,18270,17526,17440,16837,15451,15196
West Slovakia,17 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21205,19463,18995,18279,17496,17446,16847,15451
West Slovakia,18 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23593,21202,19487,18995,18277,17495,17453,16858
West Slovakia,19 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23985,23605,21244,19494,19019,18289,17496,17471
West Slovakia,20 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25392,24002,23630,21244,19518,19047,18281,17510
West Slovakia,21 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26133,25391,24022,23632,21259,19531,19044,18296
West Slovakia,22 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25945,26153,25505,24009,23665,21269,19533,19067
West Slovakia,23 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27319,25952,26195,25493,24030,23670,21273,19516
West Slovakia,24 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27374,27303,25986,26208,25500,24022,23692,21272
West Slovakia,25 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28128,27345,27316,25936,26124,25469,23996,23687
West Slovakia,26 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29052,28064,27313,27257,25907,26069,25403,23978
West Slovakia,27 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29166,28987,27956,27214,27173,25810,25952,25357
West Slovakia,28 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29571,29095,28860,27896,27111,27074,25659,25808
West Slovakia,29 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29891,29460,28917,28713,27774,26982,26930,25516
West Slovakia,30 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29859,29832,29336,28824,28587,27637,26861,26767
West Slovakia,31 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30287,29778,29624,29238,28676,28503,27500,26740
West Slovakia,32 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31874,30255,29678,29511,29155,28580,28351,27425
West Slovakia,33 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31895,31830,30100,29563,29440,29076,28430,28236
West Slovakia,34 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31875,31878,31665,29997,29472,29337,28976,28334
West Slovakia,35 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31588,31836,31714,31591,29908,29379,29271,28882
West Slovakia,36 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31297,31548,31687,31661,31473,29860,29299,29191
West Slovakia,37 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31131,31282,31438,31643,31579,31423,29805,29258
West Slovakia,38 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29478,31143,31128,31385,31557,31522,31365,29762
West Slovakia,39 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27752,29483,31091,31051,31329,31555,31461,31287
West Slovakia,40 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26309,27749,29489,31025,30998,31240,31473,31440
West Slovakia,41 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25499,26306,27703,29468,30972,30964,31209,31437
West Slovakia,42 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25442,25483,26287,27650,29398,30927,30893,31149
West Slovakia,43 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24237,25422,25491,26236,27633,29330,30889,30860
West Slovakia,44 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24463,24241,25402,25450,26197,27595,29274,30842
West Slovakia,45 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25449,24461,24203,25345,25403,26137,27536,29235
West Slovakia,46 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26041,25408,24434,24142,25291,25362,26091,27489
West Slovakia,47 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27188,25988,25326,24363,24104,25237,25306,26047
West Slovakia,48 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26138,27125,25910,25240,24319,24043,25181,25238
West Slovakia,49 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25764,26045,27046,25818,25178,24271,23953,25131
West Slovakia,50 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26359,25684,25985,26949,25715,25103,24196,23888
West Slovakia,51 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26226,26259,25600,25906,26870,25601,24974,24098
West Slovakia,52 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26019,26094,26125,25483,25782,26773,25458,24858
West Slovakia,53 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27202,25884,25959,25995,25332,25656,26640,25335
West Slovakia,54 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27827,27039,25689,25785,25829,25193,25504,26486
West Slovakia,55 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28436,27660,26905,25526,25615,25697,25029,25337
West Slovakia,56 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28296,28235,27434,26713,25325,25455,25550,24854
West Slovakia,57 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27600,28063,28006,27197,26501,25137,25247,25335
